                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4941,                 2.2847,                 1.5985,                0.64246,                0.57526,                0.67982,                0.42647,                 1.3575,                 1.7019,                  1.524,             0.00028339,             0.00028339,             0.00028339
                      2,                 1.2298,                 1.0183,                 1.3304,                0.89474,                0.83666,                0.87698,                0.53791,                 1.2545,                  1.295,                 1.3184,              0.0005719,              0.0005719,              0.0005719
                      3,                 1.2196,                0.96814,                 1.3727,                0.84794,                0.45918,                0.41573,                0.27261,                 1.3516,                 2.5944,                 1.4083,             0.00084852,             0.00084852,             0.00084852
                      4,                 1.2397,                 0.9145,                 1.3549,                 0.8133,                0.37671,                0.36441,                0.22321,                 1.6053,                 2.1953,                 1.6128,              0.0011133,              0.0011133,              0.0011133
                      5,                 1.2277,                0.86348,                 1.3581,                0.83222,                0.38776,                0.39679,                0.26445,                 1.5576,                 2.2614,                 1.6259,              0.0013661,              0.0013661,              0.0013661
                      6,                 1.2768,                 0.8662,                 1.3351,                0.66135,                0.54591,                 0.6051,                0.36012,                 1.3175,                 2.0589,                 1.4169,               0.001502,               0.001502,               0.001502
                      7,                 1.2005,                 0.8241,                 1.3014,                 0.7634,                0.81396,                0.86168,                0.54533,                 1.2917,                 1.9671,                 1.4018,               0.001469,               0.001469,               0.001469
                      8,                 1.1973,                0.79636,                 1.3233,                0.57896,                0.36617,                0.47532,                0.28273,                 1.4343,                 1.8313,                 1.6386,               0.001436,               0.001436,               0.001436
                      9,                 1.2482,                0.82246,                 1.3524,                0.30132,                0.43407,                0.28136,                0.17801,                 1.5111,                 2.5521,                 1.6698,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1494,                0.72871,                 1.2875,                0.64111,                0.70476,                0.71497,                 0.4262,                 1.4685,                 1.6308,                 1.7145,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1583,                0.71833,                 1.2761,                0.86571,                0.93622,                0.93646,                0.58265,                 1.2566,                 1.0285,                 1.3985,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1706,                0.74945,                 1.3005,                0.87602,                0.83727,                0.92367,                0.59946,                 1.1676,                0.98726,                 1.2723,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.0842,                0.69974,                 1.2221,                0.77396,                0.76141,                 0.8104,                0.52791,                 1.2093,                 1.0596,                  1.382,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.0924,                0.66911,                 1.2526,                0.85387,                0.92588,                0.92752,                0.62577,                 1.1338,                0.76285,                 1.2742,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0837,                0.68078,                 1.2538,                0.87504,                0.78611,                0.85838,                0.51312,                 1.3351,                0.84449,                 1.5592,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0876,                0.66121,                 1.2501,                0.84877,                0.76444,                0.87115,                0.53765,                  1.277,                 1.1944,                 1.4552,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0601,                 0.6369,                  1.227,                0.90295,                0.86303,                 0.9502,                0.61977,                 1.1466,                0.83171,                 1.4009,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0719,                0.64347,                  1.258,                0.89077,                 0.9117,                0.94155,                0.62441,                 1.1516,                0.67147,                 1.3014,              0.0011059,              0.0011059,              0.0011059
